T  (s),CL1cBAK2,CL2polyAC,CL3cBAK2,CL4polyAC,CL5cBAK2,CL6polyAC,CL7cBAK2,CL8polyAC,Inj.,Val.
6213.779785,4189.57666,4351.90625,3972.502197,-613.527344,-1424.637695,-1566.740723,-835.305908,-2838.805908,12.0,2.0
6217.169922,4189.067871,4351.414062,3973.214355,-615.428101,-1424.66687,-1567.66333,-835.894226,-2846.774902,12.0,2.0
6220.629883,4189.80957,4350.983398,3971.899658,-615.036682,-1425.594482,-1568.730103,-836.050049,-2847.400879,12.0,2.0
6223.970215,4200.743164,4350.732422,3972.044189,-616.275452,-1426.635376,-1570.03479,-837.483337,-2847.915039,12.0,2.0
6227.419922,4189.319336,4350.005371,3972.11792,-618.110046,-1427.866455,-1569.727905,-838.361938,-2849.10498,12.0,2.0
6230.879883,4189.131836,4349.807129,3971.980469,-618.866821,-1429.230957,-1572.616333,-839.967102,-2853.873047,12.0,2.0
6234.279785,4200.32959,4349.130859,3971.92749,-619.387451,-1429.920898,-1573.71106,-839.026001,-2855.199951,12.0,2.0
6237.720215,4200.675293,4348.662109,3972.363281,-620.177002,-1429.838501,-1572.04248,-839.971191,-2853.587646,12.0,2.0
6241.129883,4200.174805,4348.812988,3973.500488,-618.642761,-1430.603027,-1575.183838,-843.287292,-2853.504395,12.0,2.0
6244.569824,4201.757324,4348.593262,3973.486816,-623.351074,-1432.899414,-1576.388794,-842.61731,-2852.686523,12.0,2.0
6247.970215,4199.486816,4347.669434,3972.62915,-624.758911,-1433.140381,-1576.663696,-843.120422,-2851.716309,12.0,2.0
6251.419922,4199.996094,4347.675781,3973.247314,-625.119019,-1432.968262,-1577.984497,-843.521606,-2854.008545,12.0,2.0
6254.819824,4199.210937,4346.749023,3972.317871,-626.714355,-1434.830688,-1578.564819,-846.55011,-2854.786133,12.0,2.0
6258.279785,4187.305664,4346.80127,3972.606201,-626.039001,-1435.043213,-1579.809082,-845.455566,-2803.990967,12.0,2.0
6261.629883,4186.402832,4346.118164,3972.600586,-626.852905,-1435.862915,-1580.333984,-847.225281,-2800.357666,12.0,2.0
6265.069824,4187.726074,4346.053223,3972.492676,-627.278198,-1436.296265,-1580.721924,-847.408386,-2802.626221,12.0,2.0
6268.529785,4186.801758,4345.153809,3972.818359,-627.942627,-1436.726074,-1581.644165,-848.341736,-2802.094482,12.0,2.0
6271.919922,4186.031738,4344.953613,3972.661377,-629.656799,-1437.029785,-1582.038696,-848.836365,-2803.746338,12.0,2.0
6275.379883,4186.619141,4344.007812,3972.436523,-629.001587,-1437.851318,-1582.895142,-848.61676,-2806.389404,12.0,2.0
6278.779785,4185.79541,4344.420898,3972.568848,-629.826172,-1438.001099,-1583.109253,-849.279541,-2806.340576,12.0,2.0
6282.220215,4186.088867,4343.586426,3972.249512,-629.878235,-1438.595215,-1586.098145,-849.264221,-2808.68335,12.0,2.0
6285.629883,4184.766602,4343.086914,3971.977783,-628.572388,-1438.912598,-1585.655762,-848.769653,-2806.549072,12.0,2.0
6289.069824,4186.445312,4344.768555,3973.357666,-630.762756,-1438.729004,-1584.023926,-850.145447,-2809.604736,12.0,2.0
6292.470215,4185.540527,4342.798828,3972.475342,-631.43103,-1440.826294,-1585.147339,-850.283447,-2814.253418,12.0,2.0
6295.919922,4186.312012,4342.463867,3972.136963,-633.08783,-1440.120483,-1585.880249,-851.721069,-2816.736084,12.0,2.0
6299.319824,4185.037109,4341.615234,3972.061279,-633.109375,-1441.207886,-1586.911133,-852.185608,-2812.729736,12.0,2.0
6302.779785,4185.398437,4341.574219,3971.972168,-633.508667,-1441.394775,-1587.469604,-852.557556,-2816.087891,12.0,2.0
